Unique ID,Bill No,Ref Doc ID,Business Date,Created Date,Area,Branch,User Name,Mobile,Sale Items,Ambience,Cleanliness,Availability,Staff,Recommend
MOCK-11,B-1011,REF-2011,11-05-2026,2026-05-11 12:00:00,Nagpur City,AJNI ABIS,User 11,9876540011,Chicken Meat,Good,Good,Good,Good,Probably not
MOCK-12,B-1012,REF-2012,12-06-2026,2026-06-12 12:00:00,Nagpur City,AJNI ABIS,User 12,9876540012,Chicken Meat,Good,Good,Good,Good,Definitely not
MOCK-13,B-1013,REF-2013,13-03-2026,2026-03-13 12:00:00,Nagpur City,AJNI ABIS,User 13,9876540013,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-14,B-1014,REF-2014,14-04-2026,2026-04-14 12:00:00,Nagpur City,AJNI ABIS,User 14,9876540014,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-15,B-1015,REF-2015,15-05-2026,2026-05-15 12:00:00,Nagpur City,AJNI ABIS,User 15,9876540015,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-16,B-1016,REF-2016,01-03-2026,2026-03-01 12:00:00,Nagpur City,Chatrapati Shop,User 16,9876540016,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-17,B-1017,REF-2017,02-04-2026,2026-04-02 12:00:00,Nagpur City,Chatrapati Shop,User 17,9876540017,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-18,B-1018,REF-2018,03-05-2026,2026-05-03 12:00:00,Nagpur City,Chatrapati Shop,User 18,9876540018,Chicken Meat,Good,Good,Good,Good,Probably Yes
MOCK-19,B-1019,REF-2019,04-06-2026,2026-06-04 12:00:00,Nagpur City,Chatrapati Shop,User 19,9876540019,Chicken Meat,Good,Good,Good,Good,Somewhat Likely
MOCK-20,B-1020,REF-2020,05-03-2026,2026-03-05 12:00:00,Nagpur City,Chatrapati Shop,User 20,9876540020,Chicken Meat,Good,Good,Good,Good,Probably not
MOCK-21,B-1021,REF-2021,06-04-2026,2026-04-06 12:00:00,Nagpur City,Chatrapati Shop,User 21,9876540021,Chicken Meat,Good,Good,Good,Good,Definitely not
MOCK-22,B-1022,REF-2022,07-05-2026,2026-05-07 12:00:00,Nagpur City,Chatrapati Shop,User 22,9876540022,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-23,B-1023,REF-2023,08-06-2026,2026-06-08 12:00:00,Nagpur City,Chatrapati Shop,User 23,9876540023,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-24,B-1024,REF-2024,09-03-2026,2026-03-09 12:00:00,Nagpur City,Chatrapati Shop,User 24,9876540024,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-25,B-1025,REF-2025,10-04-2026,2026-04-10 12:00:00,Nagpur City,Chatrapati Shop,User 25,9876540025,Chicken Meat,Good,Good,Good,Good,Probably Yes
MOCK-26,B-1026,REF-2026,11-05-2026,2026-05-11 12:00:00,Nagpur City,Chatrapati Shop,User 26,9876540026,Chicken Meat,Good,Good,Good,Good,Somewhat Likely
MOCK-27,B-1027,REF-2027,12-06-2026,2026-06-12 12:00:00,Nagpur City,Chatrapati Shop,User 27,9876540027,Chicken Meat,Good,Good,Good,Good,Probably not
MOCK-28,B-1028,REF-2028,13-03-2026,2026-03-13 12:00:00,Nagpur City,Chatrapati Shop,User 28,9876540028,Chicken Meat,Good,Good,Good,Good,Definitely not
MOCK-29,B-1029,REF-2029,14-04-2026,2026-04-14 12:00:00,Nagpur City,Chatrapati Shop,User 29,9876540029,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-30,B-1030,REF-2030,15-05-2026,2026-05-15 12:00:00,Nagpur City,Chatrapati Shop,User 30,9876540030,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-31,B-1031,REF-2031,01-03-2026,2026-03-01 12:00:00,Nagpur City,DATTAWADI  SHOP,User 31,9876540031,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-32,B-1032,REF-2032,02-04-2026,2026-04-02 12:00:00,Nagpur City,DATTAWADI  SHOP,User 32,9876540032,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-33,B-1033,REF-2033,03-05-2026,2026-05-03 12:00:00,Nagpur City,DATTAWADI  SHOP,User 33,9876540033,Chicken Meat,Good,Good,Good,Good,Probably Yes
MOCK-34,B-1034,REF-2034,04-06-2026,2026-06-04 12:00:00,Nagpur City,DATTAWADI  SHOP,User 34,9876540034,Chicken Meat,Good,Good,Good,Good,Somewhat Likely
MOCK-35,B-1035,REF-2035,05-03-2026,2026-03-05 12:00:00,Nagpur City,DATTAWADI  SHOP,User 35,9876540035,Chicken Meat,Good,Good,Good,Good,Probably not
MOCK-36,B-1036,REF-2036,06-04-2026,2026-04-06 12:00:00,Nagpur City,DATTAWADI  SHOP,User 36,9876540036,Chicken Meat,Good,Good,Good,Good,Definitely not
MOCK-37,B-1037,REF-2037,07-05-2026,2026-05-07 12:00:00,Nagpur City,DATTAWADI  SHOP,User 37,9876540037,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-38,B-1038,REF-2038,08-06-2026,2026-06-08 12:00:00,Nagpur City,DATTAWADI  SHOP,User 38,9876540038,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-39,B-1039,REF-2039,09-03-2026,2026-03-09 12:00:00,Nagpur City,DATTAWADI  SHOP,User 39,9876540039,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-40,B-1040,REF-2040,10-04-2026,2026-04-10 12:00:00,Nagpur City,DATTAWADI  SHOP,User 40,9876540040,Chicken Meat,Good,Good,Good,Good,Probably Yes
MOCK-41,B-1041,REF-2041,11-05-2026,2026-05-11 12:00:00,Nagpur City,DATTAWADI  SHOP,User 41,9876540041,Chicken Meat,Good,Good,Good,Good,Somewhat Likely
MOCK-42,B-1042,REF-2042,12-06-2026,2026-06-12 12:00:00,Nagpur City,DATTAWADI  SHOP,User 42,9876540042,Chicken Meat,Good,Good,Good,Good,Probably not
MOCK-43,B-1043,REF-2043,13-03-2026,2026-03-13 12:00:00,Nagpur City,DATTAWADI  SHOP,User 43,9876540043,Chicken Meat,Good,Good,Good,Good,Definitely not
MOCK-44,B-1044,REF-2044,14-04-2026,2026-04-14 12:00:00,Nagpur City,DATTAWADI  SHOP,User 44,9876540044,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-45,B-1045,REF-2045,15-05-2026,2026-05-15 12:00:00,Nagpur City,DATTAWADI  SHOP,User 45,9876540045,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-46,B-1046,REF-2046,01-03-2026,2026-03-01 12:00:00,Nagpur City,FRIENDS,NAGPUR,User 46,9876540046,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-47,B-1047,REF-2047,02-04-2026,2026-04-02 12:00:00,Nagpur City,FRIENDS,NAGPUR,User 47,9876540047,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-48,B-1048,REF-2048,03-05-2026,2026-05-03 12:00:00,Nagpur City,FRIENDS,NAGPUR,User 48,9876540048,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-49,B-1049,REF-2049,04-06-2026,2026-06-04 12:00:00,Nagpur City,FRIENDS,NAGPUR,User 49,9876540049,Chicken Meat,Good,Good,Good,Good,Probably Yes
MOCK-50,B-1050,REF-2050,05-03-2026,2026-03-05 12:00:00,Nagpur City,FRIENDS,NAGPUR,User 50,9876540050,Chicken Meat,Good,Good,Good,Good,Somewhat Likely
MOCK-51,B-1051,REF-2051,06-04-2026,2026-04-06 12:00:00,Nagpur City,FRIENDS,NAGPUR,User 51,9876540051,Chicken Meat,Good,Good,Good,Good,Probably not
MOCK-52,B-1052,REF-2052,07-05-2026,2026-05-07 12:00:00,Nagpur City,FRIENDS,NAGPUR,User 52,9876540052,Chicken Meat,Good,Good,Good,Good,Definitely not
MOCK-53,B-1053,REF-2053,08-06-2026,2026-06-08 12:00:00,Nagpur City,FRIENDS,NAGPUR,User 53,9876540053,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-54,B-1054,REF-2054,09-03-2026,2026-03-09 12:00:00,Nagpur City,FRIENDS,NAGPUR,User 54,9876540054,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-55,B-1055,REF-2055,10-04-2026,2026-04-10 12:00:00,Nagpur City,FRIENDS,NAGPUR,User 55,9876540055,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-56,B-1056,REF-2056,11-05-2026,2026-05-11 12:00:00,Nagpur City,FRIENDS,NAGPUR,User 56,9876540056,Chicken Meat,Good,Good,Good,Good,Probably Yes
MOCK-57,B-1057,REF-2057,12-06-2026,2026-06-12 12:00:00,Nagpur City,FRIENDS,NAGPUR,User 57,9876540057,Chicken Meat,Good,Good,Good,Good,Somewhat Likely
MOCK-58,B-1058,REF-2058,13-03-2026,2026-03-13 12:00:00,Nagpur City,FRIENDS,NAGPUR,User 58,9876540058,Chicken Meat,Good,Good,Good,Good,Probably not
MOCK-59,B-1059,REF-2059,14-04-2026,2026-04-14 12:00:00,Nagpur City,FRIENDS,NAGPUR,User 59,9876540059,Chicken Meat,Good,Good,Good,Good,Definitely not
MOCK-60,B-1060,REF-2060,15-05-2026,2026-05-15 12:00:00,Nagpur City,FRIENDS,NAGPUR,User 60,9876540060,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-61,B-1061,REF-2061,01-03-2026,2026-03-01 12:00:00,Nagpur City,GODHANI ABIS,User 61,9876540061,Chicken Meat,Good,Good,Good,Good,Probably not
MOCK-62,B-1062,REF-2062,02-04-2026,2026-04-02 12:00:00,Nagpur City,GODHANI ABIS,User 62,9876540062,Chicken Meat,Good,Good,Good,Good,Definitely not
MOCK-63,B-1063,REF-2063,03-05-2026,2026-05-03 12:00:00,Nagpur City,GODHANI ABIS,User 63,9876540063,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-64,B-1064,REF-2064,04-06-2026,2026-06-04 12:00:00,Nagpur City,GODHANI ABIS,User 64,9876540064,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-65,B-1065,REF-2065,05-03-2026,2026-03-05 12:00:00,Nagpur City,GODHANI ABIS,User 65,9876540065,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-66,B-1066,REF-2066,06-04-2026,2026-04-06 12:00:00,Nagpur City,GODHANI ABIS,User 66,9876540066,Chicken Meat,Good,Good,Good,Good,Probably Yes
MOCK-67,B-1067,REF-2067,07-05-2026,2026-05-07 12:00:00,Nagpur City,GODHANI ABIS,User 67,9876540067,Chicken Meat,Good,Good,Good,Good,Somewhat Likely
MOCK-68,B-1068,REF-2068,08-06-2026,2026-06-08 12:00:00,Nagpur City,GODHANI ABIS,User 68,9876540068,Chicken Meat,Good,Good,Good,Good,Probably not
MOCK-69,B-1069,REF-2069,09-03-2026,2026-03-09 12:00:00,Nagpur City,GODHANI ABIS,User 69,9876540069,Chicken Meat,Good,Good,Good,Good,Definitely not
MOCK-70,B-1070,REF-2070,10-04-2026,2026-04-10 12:00:00,Nagpur City,GODHANI ABIS,User 70,9876540070,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-71,B-1071,REF-2071,11-05-2026,2026-05-11 12:00:00,Nagpur City,GODHANI ABIS,User 71,9876540071,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-72,B-1072,REF-2072,12-06-2026,2026-06-12 12:00:00,Nagpur City,GODHANI ABIS,User 72,9876540072,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-73,B-1073,REF-2073,13-03-2026,2026-03-13 12:00:00,Nagpur City,GODHANI ABIS,User 73,9876540073,Chicken Meat,Good,Good,Good,Good,Probably Yes
MOCK-74,B-1074,REF-2074,14-04-2026,2026-04-14 12:00:00,Nagpur City,GODHANI ABIS,User 74,9876540074,Chicken Meat,Good,Good,Good,Good,Somewhat Likely
MOCK-75,B-1075,REF-2075,15-05-2026,2026-05-15 12:00:00,Nagpur City,GODHANI ABIS,User 75,9876540075,Chicken Meat,Good,Good,Good,Good,Probably not
MOCK-76,B-1076,REF-2076,01-03-2026,2026-03-01 12:00:00,Nagpur City,JARIPATAKA,NAGPUR,User 76,9876540076,Chicken Meat,Good,Good,Good,Good,Probably Yes
MOCK-77,B-1077,REF-2077,02-04-2026,2026-04-02 12:00:00,Nagpur City,JARIPATAKA,NAGPUR,User 77,9876540077,Chicken Meat,Good,Good,Good,Good,Somewhat Likely
MOCK-78,B-1078,REF-2078,03-05-2026,2026-05-03 12:00:00,Nagpur City,JARIPATAKA,NAGPUR,User 78,9876540078,Chicken Meat,Good,Good,Good,Good,Probably not
MOCK-79,B-1079,REF-2079,04-06-2026,2026-06-04 12:00:00,Nagpur City,JARIPATAKA,NAGPUR,User 79,9876540079,Chicken Meat,Good,Good,Good,Good,Definitely not
MOCK-80,B-1080,REF-2080,05-03-2026,2026-03-05 12:00:00,Nagpur City,JARIPATAKA,NAGPUR,User 80,9876540080,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-81,B-1081,REF-2081,06-04-2026,2026-04-06 12:00:00,Nagpur City,JARIPATAKA,NAGPUR,User 81,9876540081,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-82,B-1082,REF-2082,07-05-2026,2026-05-07 12:00:00,Nagpur City,JARIPATAKA,NAGPUR,User 82,9876540082,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-83,B-1083,REF-2083,08-06-2026,2026-06-08 12:00:00,Nagpur City,JARIPATAKA,NAGPUR,User 83,9876540083,Chicken Meat,Good,Good,Good,Good,Probably Yes
MOCK-84,B-1084,REF-2084,09-03-2026,2026-03-09 12:00:00,Nagpur City,JARIPATAKA,NAGPUR,User 84,9876540084,Chicken Meat,Good,Good,Good,Good,Somewhat Likely
MOCK-85,B-1085,REF-2085,10-04-2026,2026-04-10 12:00:00,Nagpur City,JARIPATAKA,NAGPUR,User 85,9876540085,Chicken Meat,Good,Good,Good,Good,Probably not
MOCK-86,B-1086,REF-2086,11-05-2026,2026-05-11 12:00:00,Nagpur City,JARIPATAKA,NAGPUR,User 86,9876540086,Chicken Meat,Good,Good,Good,Good,Definitely not
MOCK-87,B-1087,REF-2087,12-06-2026,2026-06-12 12:00:00,Nagpur City,JARIPATAKA,NAGPUR,User 87,9876540087,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-88,B-1088,REF-2088,13-03-2026,2026-03-13 12:00:00,Nagpur City,JARIPATAKA,NAGPUR,User 88,9876540088,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-89,B-1089,REF-2089,14-04-2026,2026-04-14 12:00:00,Nagpur City,JARIPATAKA,NAGPUR,User 89,9876540089,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-90,B-1090,REF-2090,15-05-2026,2026-05-15 12:00:00,Nagpur City,JARIPATAKA,NAGPUR,User 90,9876540090,Chicken Meat,Good,Good,Good,Good,Probably Yes
MOCK-91,B-1091,REF-2091,01-03-2026,2026-03-01 12:00:00,Nagpur City,KHAMLA ROAD ABIS,User 91,9876540091,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-92,B-1092,REF-2092,02-04-2026,2026-04-02 12:00:00,Nagpur City,KHAMLA ROAD ABIS,User 92,9876540092,Chicken Meat,Good,Good,Good,Good,Probably Yes
MOCK-93,B-1093,REF-2093,03-05-2026,2026-05-03 12:00:00,Nagpur City,KHAMLA ROAD ABIS,User 93,9876540093,Chicken Meat,Good,Good,Good,Good,Somewhat Likely
MOCK-94,B-1094,REF-2094,04-06-2026,2026-06-04 12:00:00,Nagpur City,KHAMLA ROAD ABIS,User 94,9876540094,Chicken Meat,Good,Good,Good,Good,Probably not
MOCK-95,B-1095,REF-2095,05-03-2026,2026-03-05 12:00:00,Nagpur City,KHAMLA ROAD ABIS,User 95,9876540095,Chicken Meat,Good,Good,Good,Good,Definitely not
MOCK-96,B-1096,REF-2096,06-04-2026,2026-04-06 12:00:00,Nagpur City,KHAMLA ROAD ABIS,User 96,9876540096,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-97,B-1097,REF-2097,07-05-2026,2026-05-07 12:00:00,Nagpur City,KHAMLA ROAD ABIS,User 97,9876540097,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-98,B-1098,REF-2098,08-06-2026,2026-06-08 12:00:00,Nagpur City,KHAMLA ROAD ABIS,User 98,9876540098,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-99,B-1099,REF-2099,09-03-2026,2026-03-09 12:00:00,Nagpur City,KHAMLA ROAD ABIS,User 99,9876540099,Chicken Meat,Good,Good,Good,Good,Probably Yes
MOCK-100,B-1100,REF-2100,10-04-2026,2026-04-10 12:00:00,Nagpur City,KHAMLA ROAD ABIS,User 100,9876540100,Chicken Meat,Good,Good,Good,Good,Somewhat Likely
MOCK-101,B-1101,REF-2101,11-05-2026,2026-05-11 12:00:00,Nagpur City,KHAMLA ROAD ABIS,User 101,9876540101,Chicken Meat,Good,Good,Good,Good,Probably not
MOCK-102,B-1102,REF-2102,12-06-2026,2026-06-12 12:00:00,Nagpur City,KHAMLA ROAD ABIS,User 102,9876540102,Chicken Meat,Good,Good,Good,Good,Definitely not
MOCK-103,B-1103,REF-2103,13-03-2026,2026-03-13 12:00:00,Nagpur City,KHAMLA ROAD ABIS,User 103,9876540103,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-104,B-1104,REF-2104,14-04-2026,2026-04-14 12:00:00,Nagpur City,KHAMLA ROAD ABIS,User 104,9876540104,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-105,B-1105,REF-2105,15-05-2026,2026-05-15 12:00:00,Nagpur City,KHAMLA ROAD ABIS,User 105,9876540105,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-106,B-1106,REF-2106,01-03-2026,2026-03-01 12:00:00,Nagpur City,MANEWADA ROAD   ABIS,User 106,9876540106,Chicken Meat,Good,Good,Good,Good,Definitely not
MOCK-107,B-1107,REF-2107,02-04-2026,2026-04-02 12:00:00,Nagpur City,MANEWADA ROAD   ABIS,User 107,9876540107,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-108,B-1108,REF-2108,03-05-2026,2026-05-03 12:00:00,Nagpur City,MANEWADA ROAD   ABIS,User 108,9876540108,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-109,B-1109,REF-2109,04-06-2026,2026-06-04 12:00:00,Nagpur City,MANEWADA ROAD   ABIS,User 109,9876540109,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-110,B-1110,REF-2110,05-03-2026,2026-03-05 12:00:00,Nagpur City,MANEWADA ROAD   ABIS,User 110,9876540110,Chicken Meat,Good,Good,Good,Good,Probably Yes
MOCK-111,B-1111,REF-2111,06-04-2026,2026-04-06 12:00:00,Nagpur City,MANEWADA ROAD   ABIS,User 111,9876540111,Chicken Meat,Good,Good,Good,Good,Somewhat Likely
MOCK-112,B-1112,REF-2112,07-05-2026,2026-05-07 12:00:00,Nagpur City,MANEWADA ROAD   ABIS,User 112,9876540112,Chicken Meat,Good,Good,Good,Good,Probably not
MOCK-113,B-1113,REF-2113,08-06-2026,2026-06-08 12:00:00,Nagpur City,MANEWADA ROAD   ABIS,User 113,9876540113,Chicken Meat,Good,Good,Good,Good,Definitely not
MOCK-114,B-1114,REF-2114,09-03-2026,2026-03-09 12:00:00,Nagpur City,MANEWADA ROAD   ABIS,User 114,9876540114,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-115,B-1115,REF-2115,10-04-2026,2026-04-10 12:00:00,Nagpur City,MANEWADA ROAD   ABIS,User 115,9876540115,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-116,B-1116,REF-2116,11-05-2026,2026-05-11 12:00:00,Nagpur City,MANEWADA ROAD   ABIS,User 116,9876540116,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-117,B-1117,REF-2117,12-06-2026,2026-06-12 12:00:00,Nagpur City,MANEWADA ROAD   ABIS,User 117,9876540117,Chicken Meat,Good,Good,Good,Good,Probably Yes
MOCK-118,B-1118,REF-2118,13-03-2026,2026-03-13 12:00:00,Nagpur City,MANEWADA ROAD   ABIS,User 118,9876540118,Chicken Meat,Good,Good,Good,Good,Somewhat Likely
MOCK-119,B-1119,REF-2119,14-04-2026,2026-04-14 12:00:00,Nagpur City,MANEWADA ROAD   ABIS,User 119,9876540119,Chicken Meat,Good,Good,Good,Good,Probably not
MOCK-120,B-1120,REF-2120,15-05-2026,2026-05-15 12:00:00,Nagpur City,MANEWADA ROAD   ABIS,User 120,9876540120,Chicken Meat,Good,Good,Good,Good,Definitely not
MOCK-121,B-1121,REF-2121,01-03-2026,2026-03-01 12:00:00,Nagpur City,MANISH NAGAR  ABIS,User 121,9876540121,Chicken Meat,Good,Good,Good,Good,Somewhat Likely
MOCK-122,B-1122,REF-2122,02-04-2026,2026-04-02 12:00:00,Nagpur City,MANISH NAGAR  ABIS,User 122,9876540122,Chicken Meat,Good,Good,Good,Good,Probably not
MOCK-123,B-1123,REF-2123,03-05-2026,2026-05-03 12:00:00,Nagpur City,MANISH NAGAR  ABIS,User 123,9876540123,Chicken Meat,Good,Good,Good,Good,Definitely not
MOCK-124,B-1124,REF-2124,04-06-2026,2026-06-04 12:00:00,Nagpur City,MANISH NAGAR  ABIS,User 124,9876540124,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-125,B-1125,REF-2125,05-03-2026,2026-03-05 12:00:00,Nagpur City,MANISH NAGAR  ABIS,User 125,9876540125,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-126,B-1126,REF-2126,06-04-2026,2026-04-06 12:00:00,Nagpur City,MANISH NAGAR  ABIS,User 126,9876540126,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-127,B-1127,REF-2127,07-05-2026,2026-05-07 12:00:00,Nagpur City,MANISH NAGAR  ABIS,User 127,9876540127,Chicken Meat,Good,Good,Good,Good,Probably Yes
MOCK-128,B-1128,REF-2128,08-06-2026,2026-06-08 12:00:00,Nagpur City,MANISH NAGAR  ABIS,User 128,9876540128,Chicken Meat,Good,Good,Good,Good,Somewhat Likely
MOCK-129,B-1129,REF-2129,09-03-2026,2026-03-09 12:00:00,Nagpur City,MANISH NAGAR  ABIS,User 129,9876540129,Chicken Meat,Good,Good,Good,Good,Probably not
MOCK-130,B-1130,REF-2130,10-04-2026,2026-04-10 12:00:00,Nagpur City,MANISH NAGAR  ABIS,User 130,9876540130,Chicken Meat,Good,Good,Good,Good,Definitely not
MOCK-131,B-1131,REF-2131,11-05-2026,2026-05-11 12:00:00,Nagpur City,MANISH NAGAR  ABIS,User 131,9876540131,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-132,B-1132,REF-2132,12-06-2026,2026-06-12 12:00:00,Nagpur City,MANISH NAGAR  ABIS,User 132,9876540132,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-133,B-1133,REF-2133,13-03-2026,2026-03-13 12:00:00,Nagpur City,MANISH NAGAR  ABIS,User 133,9876540133,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-134,B-1134,REF-2134,14-04-2026,2026-04-14 12:00:00,Nagpur City,MANISH NAGAR  ABIS,User 134,9876540134,Chicken Meat,Good,Good,Good,Good,Probably Yes
MOCK-135,B-1135,REF-2135,15-05-2026,2026-05-15 12:00:00,Nagpur City,MANISH NAGAR  ABIS,User 135,9876540135,Chicken Meat,Good,Good,Good,Good,Somewhat Likely
MOCK-136,B-1136,REF-2136,01-03-2026,2026-03-01 12:00:00,Nagpur City,NANDANWAN ABIS,User 136,9876540136,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-137,B-1137,REF-2137,02-04-2026,2026-04-02 12:00:00,Nagpur City,NANDANWAN ABIS,User 137,9876540137,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-138,B-1138,REF-2138,03-05-2026,2026-05-03 12:00:00,Nagpur City,NANDANWAN ABIS,User 138,9876540138,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-139,B-1139,REF-2139,04-06-2026,2026-06-04 12:00:00,Nagpur City,NANDANWAN ABIS,User 139,9876540139,Chicken Meat,Good,Good,Good,Good,Probably Yes
MOCK-140,B-1140,REF-2140,05-03-2026,2026-03-05 12:00:00,Nagpur City,NANDANWAN ABIS,User 140,9876540140,Chicken Meat,Good,Good,Good,Good,Somewhat Likely
MOCK-141,B-1141,REF-2141,06-04-2026,2026-04-06 12:00:00,Nagpur City,NANDANWAN ABIS,User 141,9876540141,Chicken Meat,Good,Good,Good,Good,Probably not
MOCK-142,B-1142,REF-2142,07-05-2026,2026-05-07 12:00:00,Nagpur City,NANDANWAN ABIS,User 142,9876540142,Chicken Meat,Good,Good,Good,Good,Definitely not
MOCK-143,B-1143,REF-2143,08-06-2026,2026-06-08 12:00:00,Nagpur City,NANDANWAN ABIS,User 143,9876540143,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-144,B-1144,REF-2144,09-03-2026,2026-03-09 12:00:00,Nagpur City,NANDANWAN ABIS,User 144,9876540144,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-145,B-1145,REF-2145,10-04-2026,2026-04-10 12:00:00,Nagpur City,NANDANWAN ABIS,User 145,9876540145,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-146,B-1146,REF-2146,11-05-2026,2026-05-11 12:00:00,Nagpur City,NANDANWAN ABIS,User 146,9876540146,Chicken Meat,Good,Good,Good,Good,Probably Yes
